"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","false","0.03220238579163273","1.4921119513551693","408","455","23","16978","OS01G0268600,OS01G0296200,OS01G0860400,OS01G0860500,OS01G0946700,OS02G0200300,OS02G0605900,OS03G0351300,OS03G0374600,OS04G0604300,OS04G0604900,OS04G0664800,OS05G0247100,OS05G0375400,OS05G0495900,OS06G0106800,OS06G0356800,OS07G0480800,OS08G0473900,OS08G0518900,OS10G0542900,OS11G0701500,OS11G0701800"
"GO:MF","FAD binding","GO:0071949","true","0.03220238579163273","1.4921119513551693","73","455","8","16978","OS02G0220000,OS02G0770800,OS04G0448900,OS06G0548100,OS06G0548200,OS08G0460600,OS08G0468100,OS10G0550900"
"GO:BP","response to salt","GO:1902074","true","3.368213013801731e-7","6.472600450487916","109","406","18","15906","OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS02G0669100,OS02G0766700,OS03G0133000,OS03G0285800,OS03G0437200,OS03G0741100,OS04G0448900,OS04G0559700,OS04G0584600,OS04G0665600,OS06G0562200,OS10G0554200,OS11G0454300,OS11G0484500"
"GO:BP","response to inorganic substance","GO:0010035","false","3.5952910180957123e-7","6.444265950221908","192","406","23","15906","OS01G0136000,OS01G0704100,OS01G0908200,OS02G0112100,OS02G0112600,OS02G0128000,OS02G0595900,OS02G0669100,OS02G0766700,OS03G0133000,OS03G0266300,OS03G0285800,OS03G0437200,OS03G0741100,OS04G0448900,OS04G0559700,OS04G0584600,OS04G0665600,OS05G0119000,OS06G0562200,OS10G0554200,OS11G0454300,OS11G0484500"
"GO:BP","nitrogen cycle metabolic process","GO:0071941","true","3.5952910180957123e-7","6.444265950221908","15","406","8","15906","OS01G0357100,OS01G0704100,OS02G0112100,OS02G0112600,OS02G0168000,OS02G0595900,OS02G0770800,OS08G0468100"
"GO:BP","nitrate metabolic process","GO:0042126","false","3.9344055984421e-7","6.405120870627831","11","406","7","15906","OS01G0357100,OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS02G0770800,OS08G0468100"
"GO:BP","nitrate assimilation","GO:0042128","false","3.9344055984421e-7","6.405120870627831","11","406","7","15906","OS01G0357100,OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS02G0770800,OS08G0468100"
"GO:BP","reactive nitrogen species metabolic process","GO:2001057","false","3.9344055984421e-7","6.405120870627831","11","406","7","15906","OS01G0357100,OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS02G0770800,OS08G0468100"
"GO:BP","regulation of RNA biosynthetic process","GO:2001141","true","0.000021324798727399797","4.671115059198757","1814","406","82","15906","OS01G0134700,OS01G0141000,OS01G0174000,OS01G0185900,OS01G0196300,OS01G0298400,OS01G0313300,OS01G0575200,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0178700,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0687200,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS02G0791300,OS03G0133000,OS03G0169600,OS03G0171300,OS03G0191900,OS03G0214200,OS03G0237250,OS03G0270000,OS03G0437200,OS03G0725800,OS03G0741100,OS03G0764600,OS03G0811400,OS03G0860100,OS04G0517100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0586200,OS04G0605100,OS04G0648900,OS04G0665600,OS04G0690600,OS05G0129300,OS05G0183100,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0662200,OS06G0726300,OS07G0119300,OS07G0182000,OS07G0581700,OS07G0602900,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0487100,OS08G0490100,OS08G0535800,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0184900,OS11G0705900,OS12G0634500"
"GO:BP","regulation of DNA-templated transcription","GO:0006355","false","0.000021324798727399797","4.671115059198757","1814","406","82","15906","OS01G0134700,OS01G0141000,OS01G0174000,OS01G0185900,OS01G0196300,OS01G0298400,OS01G0313300,OS01G0575200,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0178700,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0687200,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS02G0791300,OS03G0133000,OS03G0169600,OS03G0171300,OS03G0191900,OS03G0214200,OS03G0237250,OS03G0270000,OS03G0437200,OS03G0725800,OS03G0741100,OS03G0764600,OS03G0811400,OS03G0860100,OS04G0517100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0586200,OS04G0605100,OS04G0648900,OS04G0665600,OS04G0690600,OS05G0129300,OS05G0183100,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0662200,OS06G0726300,OS07G0119300,OS07G0182000,OS07G0581700,OS07G0602900,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0487100,OS08G0490100,OS08G0535800,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0184900,OS11G0705900,OS12G0634500"
