gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
9266830,945.1993789477344,1.7452922426561912,0.4607671103508974,3.787796922673285,1.5198899623345623e-4,0.007086907
4326043,63.52226887437543,-4.277773599,0.6962046239027012,-6.144419977,8.025623773819625e-10,2.328776720168079e-7
4326000,437.96399576344083,1.9782221223802394,0.39948448366686357,4.951937317370029,7.347827469300855e-7,8.388106097220593e-5
9267088,763.6557895432035,2.1231097211709287,0.415002013,5.115902221044842,3.1224479242942306e-7,4.182636311999682e-5
4325983,36.66261714,-2.170844437,0.6172057727365949,-3.517213437,4.361029577833357e-4,0.015959083301889505
4325978,252.6489825946356,3.908034406802405,0.9410538811390772,4.1528274683613375,3.2839233111003274e-5,0.00202398
4325980,1010.105046776223,2.674145349249441,0.7785042716479204,3.4349783895069326,5.926010841309087e-4,0.019893830141215353
4325688,482.5505145767421,-2.968910397,0.4832092799547121,-6.144150205,8.039274083604311e-10,2.328776720168079e-7
4325696,10.068383431514297,6.313823815468862,1.899623249213959,3.3237242269389182,8.882398414677467e-4,0.026628809943303442
4325681,179.2361263916776,2.301370782317907,0.5028680036973219,4.576490779682039,4.7284053890153875e-6,4.182292613932923e-4
4325682,39.85167007714553,3.3067496502651754,0.5604286032247041,5.900394146976351,3.6263421555344636e-9,9.134440555690833e-7
4325684,994.9368447226326,5.223214297435152,0.5704759727623564,9.155888322769012,5.3912397754186054e-20,9.76152370575958e-17
4325479,661.9546404168093,2.149727949016777,0.5022975798366914,4.279789581537907,1.870700919091221e-5,0.001259566
4325454,549.1473947654687,1.364805185264117,0.40746443598620463,3.349507502319355,8.095536326981371e-4,0.024815603021357973
4324059,137.68203148389338,2.2197600100401527,0.4880381357330066,4.548333106604865,5.407249991941903e-6,4.590022392427167e-4
4325182,195.56645045310245,3.051687481194225,0.5355457080050122,5.698276422683354,1.2102471182365032e-8,2.480635637346532e-6
4325200,330.53674078806637,2.3900948059182103,0.7682752937599088,3.1109874615662587,0.001864629,0.044506099593393376
4327635,269.6592499601753,-1.476066441,0.41898810148267357,-3.522931644,4.2680142351389576e-4,0.015699518
4327123,183.6055553875614,1.1319971346070148,0.353014178,3.2066619519992874,0.001342847,0.035851538
4327129,38.29304351324593,-1.638641283,0.4458153017735544,-3.675605742,2.3728573148745413e-4,0.010052759673656786
4327132,1170.6052682718894,1.6914860094269044,0.5316938163889902,3.181315932757442,0.001466077,0.037876095
4326224,104.69660163921586,-1.34951232,0.3596711252580934,-3.752073005,1.7537837362631675e-4,0.007876392
4325348,52.84934409921161,1.7890347815742784,0.36445691789545454,4.908768893467589,9.164990356397473e-7,1.0162176388476318e-4
4325332,196.39647744428277,1.171795271269744,0.36131540658214834,3.243136744027342,0.001182215,0.032883096253740106
4325338,205.33690411762763,3.1754262161065823,1.0370219734818569,3.0620626151680455,0.002198175,0.049941666053409786
4325657,461.07402884536845,1.280816868104898,0.3672851880022958,3.4872543460611642,4.880070106032321e-4,0.017292162788561622
4325659,394.90060848219315,1.4041062590897426,0.37359923439403814,3.7583220997953664,1.7105659283933358e-4,0.007742315
4325662,1193.992847512368,-2.834663199,0.7320729225623012,-3.872104967,1.0789946346185787e-4,0.005377338
4325668,19.354130272492448,3.7503755425009038,0.9690558840551495,3.8701333991254807,1.0877581606396192e-4,0.005409379
4327301,255.5138203859424,1.8818586483913844,0.39771324802069213,4.731697165625913,2.2265040983384087e-6,2.1956172755274164e-4
4327304,2850.9523399283607,1.738791241093656,0.3476021418157664,5.002245475274539,5.666637070039984e-7,6.87532185660244e-5
4327322,329.6197132597099,-1.205904586,0.37942418854723997,-3.1782491,0.001481674,0.038066865
4327325,115.19310612466082,-1.574604551,0.45003455034460527,-3.498852588,4.672648374982305e-4,0.016736314
4327340,51.11582081687719,2.9446911537181886,0.8317343908184894,3.5404225029343683,3.9948693960778974e-4,0.014980113816295985
4327092,19.21435850242163,4.400539703129274,1.2608977881098602,3.4900050936927025,4.830113406510391e-4,0.017167645411422055
112936075,727.2313331722479,2.291512992,0.5106872740476562,4.487115908317682,7.21938029553596e-6,5.595381905309376e-4
4325531,205.68946862135437,5.202410665,0.8885512036890281,5.854936263557616,4.77192985591886e-9,1.1400484791862232e-6
4324583,1176.829084614918,3.9048189266267714,0.8348917312473432,4.6770362916313735,2.9105076320017547e-6,2.7756421343213443e-4
4324639,493.1009732278753,2.5286527275292374,0.5605438679362225,4.511070180535705,6.45013740434668e-6,5.13661457760584e-4
4326711,76.01307907203064,1.7848913453777886,0.42625802319270767,4.187349558862976,2.8223097410362227e-5,0.001796819
4326745,6.580622024975846,-3.760215353,1.1746047939828466,-3.201260009,0.00136828,0.03623831
4327184,46.74391508167297,2.951861498164579,0.8408968317610634,3.5103729573847833,4.474785787768931e-4,0.016152443278155328
4327783,51.55817926,4.316208515178407,0.8180777269544005,5.2760371942249344,1.3200730654901208e-7,1.986452806471952e-5
4327789,28.718839779203194,4.328080524044705,1.1400947778515798,3.7962462491062694,1.469035814462588e-4,0.006877462
4326757,17.253168499546597,3.9253521966995226,1.169637736841328,3.356040997,7.906684702424119e-4,0.024300996192835083
4326262,30.31506218360573,3.974115085837583,1.2052826564280894,3.2972473839580965,9.763746158991041e-4,0.028532794
9271754,34.43491738966113,3.075134238020269,0.5630952790786395,5.4611259448879315,4.731242390790588e-8,7.945058780013123e-6
4325148,501.71852290699303,2.2085329975608117,0.6098110034745731,3.621668000375627,2.927096209721543e-4,0.011714964785796648
